 了不起的生命密码 (全4册，有关生命科学的深度科普读物),¥66.00,海豚出版社,"(德)帕特里克・博伊尔勒 (德)诺伯特・兰达 著,(阿根廷)古斯塔沃・马扎里 图,张雅婷 译",1.0
 侦探与小偷 （教育部统编《语文》推荐阅读，与语文教材无缝对接，手绘精美插图，金钥匙儿童文学大系）,¥22.10,中译出版社（原中国对外翻译出版公司）,叶永烈 著，张荣梅 策划，小当当童书馆 出品,1.0
 你不可不知的外星人与UFO之谜 世界未解之谜 中小学生科普读物少儿百科三四五六年级课外阅读书 少年探索发现系列,¥15.80,汕头大学出版社,谌鸿燕,1.0
 你不可不知的世界之谜 世界未解之谜 中小学生科普读物少儿百科三四五六年级课外阅读书 少年探索发现系列,¥15.80,汕头大学出版社,中共海淀区委党校,1.0
 你不可不知的自然之谜 世界未解之谜 中小学生科普读物少儿百科三四五六年级课外阅读书 少年探索发现系列,¥15.80,汕头大学出版社,贾宁,0.0
 科学大王：我爱发明（散文式科普读物！“硬核”科普知识与范本式的流畅文字完美融合！）,¥49.80,天地出版社,小书虫读经典工作室,1.0
 科学大王：植物大观（散文式科普读物！“硬核”科普知识与范本式的流畅文字完美融合！）,¥47.30,天地出版社,小书虫读经典工作室,0.0
 世界经典科普读物 森林报套装（春 夏 秋 冬）,¥60.20,上海科学普及出版社,维・比安基,1.0
 科学大王：神奇地球（散文式科普读物！“硬核”科普知识与范本式的流畅文字完美融合！）,¥47.30,天地出版社,小书虫读经典工作室,0.0
 你不可不知的宇宙之谜 世界未解之谜 中小学生科普读物少儿百科三四五六年级课外阅读书 少年探索发现系列,¥15.80,汕头大学出版社,孙建伟、 袁曾 、袁苇鸣,0.8
 100个科学小实验（德国最具影响力的畅销儿童科普读物，新闻出版总局推荐的青少年优秀科普读物，动手动脑、培养科学兴趣的优,¥20.70,四川人民出版社,E.丹勒克尔 著， B.瑞吉尔 绘,0.9
 少年探索发现系列(全5册)宇宙之谜 地球之谜 世界之谜 海洋之谜 科学之谜 中小学生少儿科普书籍青少年读物百科全书7-,¥77.20,汕头大学出版社,龚勋,1.0
 你不可不知的恐龙之谜 世界未解之谜 中小学生科普读物少儿百科三四五六年级课外阅读书 少年探索发现系列,¥15.80,汕头大学出版社,赵爱军,1.0
 自然科学启蒙（1--4辑共24册）（彩绘版，美国优秀儿童科普读物奖获奖绘本，全系列十四辑共83册）,¥352.80,NAN,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,1.0
 时间简史（插图本）（央视《朗读者》推荐）,¥42.80,湖南科技出版社,史蒂芬・霍金,0.9
 科学大王：宇宙印象（散文式科普读物！“硬核”科普知识与范本式的流畅文字完美融合！）,¥49.80,天地出版社,小书虫读经典工作室,1.0
 失落世界探险日记/神奇科学探险之旅/青少年科普读物/写给儿童的小百科故事/张康/郑方圆/编著,¥29.20,浙江科学技术出版社,张康，郑方圆 编著,1.0
